favorite,underdog,spread,outcome,fave.name,underdog.name,week
21,13,2,8,TB,MIN,1
27,0,9.5,27,ATL,NO,1
31,0,4,31,BUF,NYJ,1
9,16,4,-7,CHI,GB,1
27,21,4.5,6,CIN,SEA,1
26,10,2,16,DAL,WAS,1
24,17,5,7,DET,SF,1
20,27,6,-7,LAN,HOU,1
20,7,1,13,MIA,PHX,1
28,29,6.5,-1,NE,IND,1
7,9,2.5,-2,LAA,DEN,1
24,10,6,14,PHA,NYG,1
33,37,9.5,-4,PIT,KC,1
14,44,2,-30,CLE,SD,1
30,10,2,20,MIA,PIT,2
31,17,4.5,14,ATL,GB,2
35,3,2.5,32,BUF,IND,2
3,9,3.5,-6,CLE,HOU,2
30,17,10.5,13,DAL,PHX,2
10,13,1,-3,DEN,SEA,2
19,10,3.5,9,KC,TB,2
17,23,7,-6,LAN,NO,2
30,31,4,-1,NYJ,CIN,2
13,3,3.5,10,PHA,NE,2
28,23,7,5,SD,DET,2
28,17,1,11,SF,CHI,2
7,17,6.5,-10,WAS,NYG,2
36,10,2.5,26,LAA,MIN,2
14,20,4,-6,BUF,PHA,3
34,17,9.5,17,ATL,SF,3
28,17,3.5,11,CHI,TB,3
17,20,1,-3,CIN,CLE,3
28,10,3,18,DEN,IND,3
24,26,3.5,-2,DET,MIN,3
10,16,2.5,-6,HOU,MIA,3
35,23,7,12,LAN,GB,3
20,7,3.5,13,NYG,NO,3
20,10,7,10,LAA,SEA,3
38,10,5.5,28,PIT,NYJ,3
40,30,3.5,10,PHX,WAS,3
42,31,4,11,SD,KC,3
35,21,2,14,DAL,NE,3
17,28,2,-11,ATL,CLE,4
24,27,3.5,-3,BUF,CIN,4
18,10,10.5,8,DAL,NYG,4
13,30,3,-17,GB,MIN,4
17,33,3.5,-16,HOU,NYJ,4
31,28,3,3,MIA,IND,4
0,16,1.5,-16,LAA,DET,4
36,13,9,23,PHA,WAS,4
27,21,3.5,6,PIT,NE,4
24,42,3,-18,SD,DEN,4
21,14,6.5,7,SF,NO,4
14,20,2,-6,SEA,KC,4
20,10,1,10,TB,PHX,4
24,7,1,17,LAN,CHI,4
23,17,7,6,BUF,IND,5
17,20,6,-3,DAL,PHX,5
17,10,3.5,7,HOU,CIN,5
27,16,2.5,11,LAN,CLE,5
28,28,6,0,MIA,NYJ,5
24,21,5,3,MIN,CHI,5
33,17,5.5,16,NE,KC,5
14,27,3,-13,NYG,GB,5
0,17,4,-17,LAA,DEN,5
20,6,6.5,14,PIT,NO,5
24,10,9,14,SD,SEA,5
28,10,1,18,TB,DET,5
17,30,2.5,-13,WAS,SF,5
16,13,2,3,PHA,ATL,5
35,37,3.5,-2,ATL,LAN,6
19,41,2,-22,IND,CIN,6
7,24,3.5,-17,CHI,WAS,6
14,45,5,-31,DAL,SF,6
27,21,7,6,DEN,DET,6
10,21,3.5,-11,GB,TB,6
35,17,7,18,HOU,SEA,6
24,28,2.5,-4,NE,NYJ,6
0,27,1,-27,LAA,KC,6
31,14,9,17,PHA,NO,6
13,7,3.5,6,PIT,CLE,6
14,34,1,-20,PHX,NYG,6
31,33,7,-2,SD,MIN,6
31,21,4,10,BUF,MIA,6
41,20,8,21,ATL,PHX,7
14,33,3,-19,BUF,NYJ,7
20,17,10.5,3,CLE,NO,7
29,17,5,12,DAL,LAN,7
14,28,0,-14,DEN,KC,7
13,10,7,3,MIA,WAS,7
38,10,3.5,28,NE,HOU,7
18,16,4,2,LAA,TB,7
23,35,3.5,-12,PHA,MIN,7
7,34,1,-27,PIT,CIN,7
43,14,5,29,SD,IND,7
13,3,1,10,SF,GB,7
0,32,1.5,-32,SEA,NYG,7
48,17,6,31,DET,CHI,7
24,27,8,-3,ATL,NYG,8
9,7,5.5,2,BUF,DEN,8
7,17,6,-10,CIN,NO,8
42,28,7,14,CLE,IND,8
28,27,6,1,DAL,MIA,8
31,27,5,4,DET,GB,8
17,30,2.5,-13,MIN,PHX,8
22,24,3,-2,NE,WAS,8
3,19,9,-16,NYJ,SEA,8
17,28,2,-11,LAA,KC,8
20,10,9,10,PHA,TB,8
17,20,9.5,-3,SD,CHI,8
20,17,0,3,SF,LAN,8
26,13,5.5,13,PIT,HOU,8
41,10,6.5,31,ATL,NO,9
22,13,4,9,BUF,CLE,9
34,21,4,13,CIN,HOU,9
34,24,4,10,GB,SEA,9
20,13,6.5,7,LAN,DET,9
27,10,7.5,17,MIA,IND,9
7,26,2,-19,NYG,NYJ,9
27,17,1,10,LAA,NE,9
14,17,3,-3,PHA,DAL,9
14,17,4.5,-3,PIT,SF,9
22,20,6,2,SD,KC,9
20,10,6,10,TB,CHI,9
42,21,3.5,21,WAS,PHX,9
19,17,5.5,2,DEN,MIN,9
14,17,2.5,-3,ATL,SF,10
23,20,4,3,DEN,CLE,10
26,24,3,2,GB,NYG,10
17,16,0,1,HOU,LAA,10
13,16,8,-3,KC,CHI,10
13,21,11,-8,LAN,NO,10
25,10,4,15,MIN,TB,10
27,30,2.5,-3,NE,MIA,10
41,14,3.5,27,NYJ,IND,10
52,10,4.5,42,PHA,PHX,10
21,24,5,-3,PIT,SEA,10
17,40,4,-23,SD,CIN,10
33,31,2.5,2,WAS,DET,10
27,14,3.5,13,DAL,BUF,10
20,34,5,-14,ATL,PIT,11
0,24,5.5,-24,BUF,PHX,11
24,10,3.5,14,CIN,LAN,11
24,27,3.5,-3,DAL,DET,11
24,7,1,17,DEN,TB,11
21,17,3,4,GB,CHI,11
23,10,5.5,13,KC,HOU,11
17,33,5,-16,MIA,LAA,11
20,10,8.5,10,MIN,NO,11
6,17,2.5,-11,NE,NYJ,11
27,30,1.5,-3,NYG,WAS,11
38,13,14,25,PHA,IND,11
12,15,3,-3,SF,CLE,11
23,44,6,-21,SD,SEA,11
20,17,7,3,BUF,NE,12
38,21,3.5,17,CIN,DEN,12
10,32,2.5,-22,CLE,PIT,12
24,10,7,14,DAL,WAS,12
23,7,2,16,DET,CHI,12
24,27,5.5,-3,HOU,NO,12
40,13,7,27,KC,SEA,12
31,33,3,-2,LAN,SF,12
16,15,2.5,1,NYJ,MIA,12
21,55,3,-34,LAA,SD,12
10,20,9.5,-10,PHA,NYG,12
35,24,2.5,11,PHX,IND,12
37,3,3,34,TB,GB,12
31,30,5,1,ATL,MIN,12
10,9,13.5,1,DAL,CHI,13
27,10,2.5,17,DET,KC,13
31,27,4,4,ATL,HOU,13
21,14,5,7,BUF,WAS,13
41,21,2,20,CIN,CLE,13
23,35,7,-12,MIN,GB,13
20,27,4,-7,NE,PHX,13
25,0,11.5,25,NYJ,IND,13
24,0,6.5,24,PIT,LAN,13
34,17,4,17,SD,DEN,13
17,10,5,7,SF,NYG,13
31,32,1,-1,SEA,LAA,13
31,14,1,17,TB,NO,13
10,13,2.5,-3,PHA,MIA,13
17,13,2.5,4,HOU,CLE,14
23,24,2.5,-1,ATL,TB,14
3,21,7.5,-18,CIN,SF,14
37,13,13,24,DAL,IND,14
16,13,3.5,3,DEN,KC,14
17,31,2.5,-14,DET,GB,14
24,14,6,10,MIA,NE,14
9,10,3.5,-1,MIN,CHI,14
10,7,3.5,3,NYG,LAN,14
23,27,9,-4,NYJ,SEA,14
13,15,4,-2,PHA,WAS,14
30,3,6.5,27,PHX,NO,14
27,28,4,-1,SD,BUF,14
27,30,4,-3,PIT,LAA,14
14,13,2,1,NYJ,CLE,15
45,7,4,38,DET,MIN,15
19,10,3.5,9,BUF,NE,15
21,10,3.5,11,DAL,PHA,15
23,13,9.5,10,DEN,SEA,15
35,7,3,28,GB,NO,15
7,17,2,-10,KC,MIA,15
6,23,6.5,-17,LAA,CHI,15
10,17,1,-7,PIT,CIN,15
10,20,4,-10,PHX,NYG,15
24,23,2.5,1,SD,TB,15
28,6,7,22,SF,HOU,15
38,14,13,24,WAS,IND,15
21,16,3.5,5,LAN,ATL,15
16,6,3,10,MIA,BUF,16
10,13,3,-3,DAL,NYG,16
28,30,2,-2,ATL,CIN,16
24,35,3,-11,DEN,CHI,16
17,20,6,-3,DET,TB,16
21,20,1,1,HOU,PIT,16
6,10,3,-4,MIN,KC,16
21,23,6,-2,NE,IND,16
28,3,3.5,25,NYJ,GB,16
38,0,8.5,38,PHA,PHX,16
21,17,6.5,4,SF,NO,16
42,21,1,21,SEA,CLE,16
30,7,2,23,WAS,LAN,16
23,10,8,13,SD,LAA,16
17,22,4,-5,SF,PHA,1
10,20,2,-10,CIN,LAA,1
6,16,4,-10,NYG,LAN,1
29,41,3,-12,SD,NYJ,1
10,14,7,-4,PIT,DEN,1
23,29,6,-6,NE,IND,1
12,0,4.5,12,MIA,BUF,1
21,27,1.5,-6,CLE,MIN,1
0,11,3,-11,TB,DET,1
28,17,2.5,11,NO,PHX,1
17,20,1,-3,CHI,ATL,1
41,38,4.5,3,GB,HOU,1
17,13,2,4,KC,SEA,1
31,30,2.5,1,DAL,WAS,1
17,48,3.5,-31,MIN,SF,2
13,16,3,-3,ATL,NYG,2
6,10,6.5,-4,CIN,BUF,2
26,31,3.5,-5,DET,CLE,2
17,10,3,7,CHI,TB,2
13,23,0,-10,PHA,WAS,2
34,17,6,17,DAL,PHX,2
21,25,1.5,-4,GB,PIT,2
17,10,2.5,7,DEN,IND,2
34,24,9.5,10,MIA,NE,2
10,17,8,-7,NYJ,SEA,2
20,6,10,14,LAA,HOU,2
30,27,3,3,LAN,NO,2
17,14,4,3,SD,KC,2
17,7,3.5,10,CLE,CIN,3
42,27,3.5,15,SF,PHX,3
27,12,7,15,WAS,KC,3
14,30,3,-16,DET,ATL,3
13,23,6.5,-10,NYJ,NE,3
28,23,5.5,5,BUF,IND,3
40,28,5.5,12,PIT,HOU,3
34,31,3,3,NO,CHI,3
27,24,3,3,GB,LAN,3
28,13,8,15,DAL,NYG,3
10,13,2.5,-3,DEN,PHA,3
19,16,1.5,3,MIN,TB,3
31,34,3,-3,SD,SEA,3
27,14,2,13,LAA,MIA,3
24,20,4.5,4,SF,ATL,4
30,13,7,17,BUF,HOU,4
21,20,8,1,DAL,NO,4
20,17,3,3,MIN,DET,4
17,23,2,-6,TB,CIN,4
11,14,6,-3,PHA,PHX,4
14,6,7.5,8,MIA,KC,4
23,28,8,-5,PIT,NE,4
19,22,2,-3,CHI,IND,4
22,7,3.5,15,LAA,DEN,4
27,24,5.5,3,NYJ,LAN,4
27,17,2,10,WAS,SEA,4
24,30,7,-6,SD,CLE,4
27,3,2,24,NYG,GB,4
33,13,3,20,SF,NE,5
24,28,3.5,-4,ATL,PHA,5
31,14,1.5,17,CHI,DEN,5
37,24,4,13,DAL,MIN,5
55,14,6,41,GB,TB,5
9,24,3,-15,CLE,SEA,5
17,10,11,7,PIT,HOU,5
37,35,2,2,WAS,LAA,5
31,34,6,-3,CIN,IND,5
21,10,4.5,11,LAN,DET,5
7,17,2.5,-10,MIA,NO,5
38,14,2.5,24,KC,PHX,5
34,41,2,-7,NYG,SD,5
34,10,1,24,NYJ,BUF,5
7,10,4.5,-3,SF,LAN,6
17,19,2,-2,ATL,NO,6
38,14,7,24,WAS,PHX,6
14,38,1.5,-24,GB,DET,6
14,23,2,-9,CHI,MIN,6
7,10,2,-3,NYJ,CLE,6
35,38,6,-3,MIA,BUF,6
26,14,1.5,12,DEN,HOU,6
12,7,1,5,IND,NE,6
27,24,14,3,DAL,TB,6
13,17,2,-4,NYG,PHA,6
28,21,3.5,7,SD,SEA,6
21,20,9,1,LAA,KC,6
24,14,1,10,PIT,CIN,6
31,17,3,14,DET,CHI,7
21,37,4,-16,SD,NE,7
27,34,3,-7,TB,PHX,7
14,32,3.5,-18,NYJ,MIA,7
44,17,2,27,PIT,CLE,7
34,14,9,20,MIN,HOU,7
30,7,1,23,BUF,IND,7
24,17,2,7,DEN,CIN,7
27,21,3.5,6,LAN,ATL,7
36,38,3,-2,LAA,SEA,7
38,17,2,21,KC,NYG,7
37,7,7.5,30,DAL,PHA,7
13,32,1,-19,NO,SF,7
47,48,3.5,-1,WAS,GB,7
45,35,1,10,SF,LAN,8
38,40,4,-2,DAL,LAA,8
0,31,4,-31,BUF,NE,8
21,28,0,-7,CLE,CIN,8
38,17,7,21,WAS,DET,8
21,27,3.5,-6,NYJ,ATL,8
6,7,4.5,-1,PHA,CHI,8
17,20,2,-3,GB,MIN,8
13,10,4,3,KC,HOU,8
21,7,3.5,14,MIA,IND,8
24,21,3,3,NO,TB,8
6,14,2,-8,SD,DEN,8
21,27,1,-6,SEA,PIT,8
20,20,2,0,PHX,NYG,8
13,27,6,-14,SF,NYJ,9
24,13,3,11,ATL,NE,9
27,21,2.5,6,BUF,NO,9
