county,activity
AITKIN              ,2.2
AITKIN              ,2.2
AITKIN              ,2.9
AITKIN              ,1
ANOKA               ,3.1
ANOKA               ,2.5
ANOKA               ,1.5
ANOKA               ,1
ANOKA               ,0.7
ANOKA               ,1.2
ANOKA               ,1.2
ANOKA               ,1.3
ANOKA               ,1.4
ANOKA               ,0.4
ANOKA               ,1.1
ANOKA               ,4.5
ANOKA               ,1.3
ANOKA               ,2.1
ANOKA               ,5.9
ANOKA               ,3.3
ANOKA               ,1.8
ANOKA               ,5.4
ANOKA               ,6.3
ANOKA               ,1.9
ANOKA               ,6.6
ANOKA               ,3.1
ANOKA               ,6.8
ANOKA               ,7
ANOKA               ,7.7
ANOKA               ,5.2
ANOKA               ,4.5
ANOKA               ,4.4
ANOKA               ,2.8
ANOKA               ,8.1
ANOKA               ,1.6
ANOKA               ,4.2
ANOKA               ,5.4
ANOKA               ,4
ANOKA               ,2.3
ANOKA               ,2.9
ANOKA               ,1.4
ANOKA               ,3.3
ANOKA               ,2.9
ANOKA               ,1.8
ANOKA               ,0.2
ANOKA               ,2.4
ANOKA               ,1.1
ANOKA               ,2.2
ANOKA               ,0.6
ANOKA               ,1.7
ANOKA               ,2.9
ANOKA               ,2.2
ANOKA               ,1.7
ANOKA               ,1.4
ANOKA               ,1.9
ANOKA               ,1.8
BECKER              ,1.2
BECKER              ,4.3
BECKER              ,4.5
BELTRAMI            ,6.3
BELTRAMI            ,4.6
BELTRAMI            ,5.7
BELTRAMI            ,2.2
BELTRAMI            ,0.4
BELTRAMI            ,4.6
BELTRAMI            ,4.4
BENTON              ,6.6
BENTON              ,2.7
BENTON              ,2.9
BENTON              ,2.9
BIG STONE           ,7.2
BIG STONE           ,5
BIG STONE           ,2.6
BLUE EARTH          ,5
BLUE EARTH          ,13
BLUE EARTH          ,7.2
BLUE EARTH          ,6.8
BLUE EARTH          ,12.8
BLUE EARTH          ,5.8
BLUE EARTH          ,9.5
BLUE EARTH          ,6
BLUE EARTH          ,3.8
BLUE EARTH          ,14.3
BLUE EARTH          ,1.8
BLUE EARTH          ,6.9
BLUE EARTH          ,4.7
BLUE EARTH          ,9.5
BROWN               ,2.5
BROWN               ,6.7
BROWN               ,4
BROWN               ,10.1
CARLTON             ,2.2
CARLTON             ,1.8
CARLTON             ,3.4
CARLTON             ,5.6
CARLTON             ,4.3
CARLTON             ,3.9
CARLTON             ,1.3
CARLTON             ,4.2
CARLTON             ,0.8
CARLTON             ,2
CARVER              ,1.6
CARVER              ,12.9
CARVER              ,14.7
CARVER              ,4.7
CARVER              ,9.6
CASS                ,3.7
CASS                ,7.4
CASS                ,1.9
CASS                ,5.3
CASS                ,4
CHIPPEWA            ,7.7
CHIPPEWA            ,1.4
CHIPPEWA            ,10
CHIPPEWA            ,9.4
CHISAGO             ,0.8
CHISAGO             ,4.4
CHISAGO             ,5
CHISAGO             ,2.1
CHISAGO             ,1.7
CHISAGO             ,8.1
CLAY                ,0.9
CLAY                ,12.9
CLAY                ,2.6
CLAY                ,3.5
CLAY                ,26.6
CLAY                ,1.5
CLAY                ,13
CLAY                ,8.8
CLAY                ,19.5
CLAY                ,2.5
CLAY                ,9
CLAY                ,13.1
CLAY                ,3.6
CLAY                ,6.9
CLEARWATER          ,4.8
CLEARWATER          ,3.4
CLEARWATER          ,0.9
CLEARWATER          ,3.4
COOK                ,2.7
